layer_name,time,output size,mem consumption
user_input,nan,4436016,nan
seq_layers_1,0.0006,22.5625,--
d1_conv3,0.0003,22.5625,276.5300
seq_layers_2,0.0012,22.5625,--
seq_layers_
seq_layers_
seq_layers_
seq_layers_
seq_layers_
seq_layers_
seq_layers_
